"pwsid","a_int.identified_as_disadvantaged","pw_int_hh.percent_pre_1960s_housing_lead_paint_indicator","pw_int_pop.low_life_expectancy_percentile"
"090400001",1,19,77
"090400003",0.77,1,63.7
"090400005",1,1,77
"090400008",0,NA,NA
"090400018",1,1,77
"090400020",0,NA,NA
"090400027",1,NA,NA
"090400030",1,19,72
"090400034",1,4,67
"090400037",1,NA,NA
"090400040",1,19,77
"090400042",1,19,77
"090400047",1,1,72
"090400049",1,3,77
"090400051",1,11,69.54
"090400054",1,17,79
"090400057",1,17,79
"090400071",0.66,1,59.04
"090400073",0,1,43
"090400076",0.8,6,56.88
"090400088",1,2,NA
"090400090",0,NA,NA
"090400092",1,0,NA
"090400096",1,1,72
"090400101",0.6,1,69.5
"090400104",1,11,62.98
"090400105",1,24,77
"090400106",1,17,79
"090400107",1,17,78.96
"090400108",1,10,77
"090400109",1,3,99
"090400110",1,13,77
"090400112",1,6,NA
"090400114",1,8,77
"090400116",1,2,56.3
"090400119",0,0,77
"090400220",1,1,77
"090400226",1,4,67
"090400227",0.05,NA,NA
"090400228",1,5,57
"090400239",1,6,NA
"090400243",1,3,77
"090400244",1,4,NA
"090400259",1,24,77.05
"090400274",1,0,72
"090400277",1,0,72
"090400300",1,5,96
"090400301",1,1,90
"090400304",1,1,90
"090400343",1,13,69
"090400394",1,17,79
"090400676",1,5,57
"090400687",1,24,77
"090400692",1,6,NA
"090400693",1,4,80.88
"090400695",0,0,0
"090400699",1,22,18
"090400700",1,24,77
"090400706",1,3,99
"090408027",1,0,72
"090600237",1,5,96
"AZ0401001",0,10,36
"AZ0401004",0.4,13,65.58
"AZ0401010",0,NA,NA
"AZ0401011",1,2,72
"AZ0401012",0.45,9,68.65
"AZ0401013",0.24,13,64.05
"AZ0401015",0,NA,NA
"AZ0401018",1,2,72
"AZ0401019",0,10,36
"AZ0401022",1,1,77
"AZ0401039",0,10,36
"AZ0401047",0.09,10,36
"AZ0401049",0.4,6,52.64
"AZ0401054",0,10,36
"AZ0401056",0,NA,NA
"AZ0401372",1,2,72
"AZ0401704",1,18,83.12
"AZ0402001",0.98,65,54.67
"AZ0402004",0.37,1,28.86
"AZ0402005",0.32,15,73.8
"AZ0402006",1,22,0
"AZ0402007",0.01,2,27.76
"AZ0402008",1,3,74
"AZ0402009",1,3,NA
"AZ0402010",0.83,7,63.49
"AZ0402011",0.72,2,47.56
"AZ0402012",1,7,35
"AZ0402013",1,10,73
"AZ0402014",1,43,88.27
"AZ0402015",0,3,3
"AZ0402016",1,21,5
"AZ0402017",1,21,5
"AZ0402018",0.13,23,44
"AZ0402019",0.99,10,73
"AZ0402023",0,1,13
"AZ0402024",1,80,74
"AZ0402026",0,5,7
"AZ0402027",1,22,0
"AZ0402028",1,0,72
"AZ0402029",0.94,0,72
"AZ0402033",0,23,44
"AZ0402035",1,29,69
"AZ0402036",1,22,0
"AZ0402038",1,10,73
"AZ0402039",0,3,3
"AZ0402040",1,16,57
"AZ0402041",1,16,57
"AZ0402042",1,7,35
"AZ0402043",1,NA,NA
"AZ0402044",0.03,0,22.01
"AZ0402049",1,3,74
"AZ0402052",0.99,7,35
"AZ0402054",1,10,73
"AZ0402061",1,NA,NA
"AZ0402075",0,23,44
"AZ0402078",0,11,NA
"AZ0402094",0,0,22
"AZ0402101",0,0,63
"AZ0402104",1,10,73
"AZ0402105",1,NA,NA
"AZ0402110",1,2,69
"AZ0402112",1,80,74
"AZ0402120",1,10,73
"AZ0402122",0,3,3
"AZ0402125",0,3,3
"AZ0402327",0,3,3
"AZ0402345",1,80,74
"AZ0402353",1,10,73
"AZ0402360",1,21,5
"AZ0402401",1,21,5
"AZ0403002",0,2,3
"AZ0403003",0,9,13.78
"AZ0403004",0,20,2
"AZ0403005",0,1,80
"AZ0403006",1,3,77
"AZ0403008",0.08,9,43.3
"AZ0403009",1,10,53
"AZ0403010",0,4,47
"AZ0403011",0,3,NA
"AZ0403013",0,0,18
"AZ0403015",0,1,7
"AZ0403017",1,9,36
"AZ0403018",0,2,3
"AZ0403021",0,1,53
"AZ0403024",0,2,NA
"AZ0403026",0.98,34,55.96
"AZ0403032",0,2,3
"AZ0403037",1,10,53
"AZ0403044",0,0,18
"AZ0403063",0,2,3
"AZ0403067",0,2,3
"AZ0403073",0,0,18
"AZ0403081",0,NA,NA
"AZ0403084",0,0,18
"AZ0403087",0,0,18
"AZ0403088",0,0,18
"AZ0403105",1,NA,NA
"AZ0403175",0,NA,NA
"AZ0403299",0,NA,NA
"AZ0403300",0,NA,NA
"AZ0403312",0,4,47
"AZ0403362",0,1,53
"AZ0403659",1,NA,NA
"AZ0403702",0,4,47
"AZ0403712",1,10,53
"AZ0404002",1,34,24.72
"AZ0404003",1,38,57
"AZ0404004",1,13,69
"AZ0404005",1,13,69
"AZ0404008",1,39,57.81
"AZ0404015",1,13,69
"AZ0404016",0,0,39
"AZ0404020",0,0,39
"AZ0404021",1,13,69
"AZ0404022",1,1,NA
"AZ0404023",1,13,69
"AZ0404024",1,13,69
