"pwsid","pw_int_hh.redlining","pw_int_pop.life_expectancy","pw_int_pop.cancer","a_int.overall_cvi_score"
"VT0000196",0,83.5,8,0.37
"VT0005001",0,83,7.9,0.37
"VT0005002",0,78.9,7.5,0.37
"VT0005003",0,83,8.7,0.37
"VT0005004",0,80.3,5.8,0.36
"VT0005005",0,90.8,6.7,0.34
"VT0005006",0,90.8,6.7,0.34
"VT0005007",0,90.2,6.7,0.33
"VT0005010",0,79.2,6.8,0.35
"VT0005012",0,83,7.9,0.38
"VT0005013",0,84.5,9,0.39
"VT0005016",0,76.2,8.5,0.44
"VT0005017",0,86.4,7.8,0.39
"VT0005018",0,84.6,7.3,0.39
"VT0005020",0,88.1,9.9,0.34
"VT0005021",0,88.1,9.9,0.34
"VT0005022",0,86.5,9.8,0.38
"VT0005024",0,81.5,9.6,0.35
"VT0005026",0,81.9,7.8,0.44
"VT0005027",0,81.9,7.8,0.44
"VT0005028",0,82.9,8.6,0.4
"VT0005029",0,86.8,8,0.4
"VT0005031",0,86.8,8,0.4
"VT0005033",0,82,7.2,0.4
"VT0005037",0,82.8,8.1,0.39
"VT0005038",0,80.7,7.1,0.41
"VT0005039",0,80.7,7.1,0.41
"VT0005040",0,79.4,6.7,0.41
"VT0005041",0,79.3,5.3,0.41
"VT0005042",0,81.3,7.9,0.4
"VT0005043",0,81.3,7.9,0.4
"VT0005045",0,79.5,7.7,0.43
"VT0005046",0,79.1,7.9,0.43
"VT0005048",0,84.5,7.2,0.42
"VT0005049",0,84.5,7.2,0.42
"VT0005051",0,86.6,6.6,0.31
"VT0005052",0,86.6,6.6,0.31
"VT0005053",0,80,4.8,0.33
"VT0005056",NA,NA,NA,0.29
"VT0005057",0,79.7,4.9,0.36
"VT0005058",0,79.3,5,0.36
"VT0005059",0,79.8,7,0.32
"VT0005060",0,79.8,5.3,0.36
"VT0005065",0,80.8,6.8,0.33
"VT0005066",0,80.3,6.3,0.34
"VT0005070",0,83,6.6,0.33
"VT0005076",0,82.4,6.2,0.29
"VT0005077",0,82.5,7.2,0.3
"VT0005078",0,82.5,7.2,0.3
"VT0005079",0,80.6,6.3,0.34
"VT0005083",0,80.6,6.3,0.35
"VT0005084",0,79.6,6.8,0.32
