"pwsid","a_int.dwater","pw_ext_pop.disability"
"090400001",0,7
"090400003",0,2482
"090400005",0,18
"090400008",0,183
"090400018",0,14
"090400020",0,35
"090400027",NA,0
"090400030",0,12
"090400034",9,9
"090400037",9,0
"090400040",0,9
"090400042",0,308
"090400047",0,490
"090400049",0,86
"090400051",0,642
"090400054",0,4
"090400057",0,18
"090400071",17,186
"090400073",0,5
"090400076",0,173
"090400088",0,27
"090400090",5,0
"090400092",0,37
"090400096",0,55
"090400101",1,30
"090400104",1,248
"090400105",0,51
"090400106",0,120
"090400107",0,60
"090400108",0,104
"090400109",0,738
"090400110",0,138
"090400112",0,4
"090400114",0,462
"090400116",1,23
"090400119",NA,63
"090400220",0,1
"090400226",9,3
"090400227",0,33
"090400228",0,105
"090400239",0,2
"090400243",0,275
"090400244",0,19
"090400259",0,95
"090400274",0,1
"090400277",1,2
"090400300",0,517
"090400301",0,5
"090400304",0,12
"090400343",2,7
"090400394",0,9
"090400676",35,4
"090400687",0,34
"090400692",0,228
"090400693",0,1126
"090400695",NA,11
"090400699",0,19
"090400700",0,53
"090400706",0,66
"090408027",0,9
"090600237",27,45
"AZ0401001",3,34
"AZ0401004",4,864
"AZ0401010",3,NA
"AZ0401011",NA,11
"AZ0401012",2,637
"AZ0401013",4,302
"AZ0401015",1,NA
"AZ0401018",1,142
"AZ0401019",1,16
"AZ0401022",5,4
"AZ0401039",1,1
"AZ0401047",1,42
"AZ0401049",1,144
"AZ0401054",1,14
"AZ0401056",3,NA
"AZ0401372",1,1
"AZ0401704",0,3
"AZ0402001",0,1056
"AZ0402004",0,1349
"AZ0402005",0,1256
"AZ0402006",25,81
"AZ0402007",1,186
"AZ0402008",NA,183
"AZ0402009",0,48
"AZ0402010",0,4206
"AZ0402011",0,323
"AZ0402012",1,82
"AZ0402013",1,207
"AZ0402014",NA,1647
"AZ0402015",0,16
"AZ0402016",NA,7
"AZ0402017",2,30
"AZ0402018",2,92
"AZ0402019",6,421
"AZ0402023",0,35
"AZ0402024",0,148
"AZ0402026",0,3
"AZ0402027",25,35
"AZ0402028",0,297
"AZ0402029",NA,304
"AZ0402033",2,204
