"pwsid","pws_name","primacy_agency","pop_cat_5","population_served_count","service_connections_count","service_area_type","symbology_field","detailed_facility_report","ewg_report_link","epic_area_mi2"
"CT0010111","Whispering Hills, Llc - Well D System","CT","<=500",48,24,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=CT0010111&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0010111",0.15
"CT0012011","Hop River Homes","CT","<=500",26,25,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=CT0012011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0012011",0.17
"CT0030011","Ashford Hills Apartments","CT","<=500",136,52,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0030011&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0030011",0.07
"CT0030021","Perry Hill Estates Apartments Inc.","CT","<=500",144,48,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=CT0030021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0030021",0.32
"CT0030031","Ctwc - Ashford Park Division","CT","<=500",334,142,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0030031&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0030031",1.06
"CT0030041","Birch Hills Condominiums","CT","<=500",132,44,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0030041&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0030041",0.09
"CT0030051","Woodlawn Apartments","CT","<=500",96,34,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0030051&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0030051",0.09
"CT0030061","Mar-Lea Park Apartments","CT","<=500",50,25,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0030061&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0030061",0.05
"CT0030411","Ctwc - Pompey Hollow Division","CT","<=500",32,32,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0030411&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0030411",0.08
"CT0037001","Evangelical Christian Center - Main","CT","<=500",84,17,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=CT0037001&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=CT0037001",0.16
