"pwsid","total_pop","mhi","hh_inc_lowest_quintile","black_alone_per","asian_alone_per","white_alone_per","AIAN_alone_per","NAPI_alone_per","other_alone_per","mixed_alone_per","hisp_alone_per","ageunder_5_per","age_over_61_per","bachelors_per","laborforce_unemployed_per","water_rate_less_125_per","water_rate_between_125_249_per","water_rate_between_250_499_per","water_rate_between_500_749_per","water_rate_between_750_999_per","water_rate_over_1000_per","hh_below_pov_per","hh_rent_home_per","hh_own_home_per","poc_alone_per","pop_in_pov_per","no_health_insurance_per","epic_pop_density","most_common_rate_tidy"
"CT0010111",75,102759,61027,1.63,1.57,91.73,0,0,0,5.07,1.03,5.77,26.45,21.92,2.39,21.43,16.67,0,0,21.43,40.48,2.89,12.99,87.01,8.27,1.6,3.74,501,"Most people pay > $1000 for water & sewer annually"
"CT0012011",164,113983,34603,1.37,0,93.87,0.21,0,2.45,2.11,3.91,2.54,25.39,19.62,7.67,13.33,23.33,22.5,21.67,19.17,0,4.87,15.25,84.75,6.13,5.07,3.93,943,"Most people pay between $125-249 for water & sewer annually"
"CT0030011",20,90441,36500,0,0.6,92.68,0,0,2.89,3.84,5.13,5.49,17.12,14.86,9.57,1.71,4.4,5.13,6.36,1.71,80.68,7.09,21.91,78.09,7.32,6.13,5.95,267,"Most people pay > $1000 for water & sewer annually"
"CT0030021",136,90441,36500,0,0.6,92.68,0,0,2.89,3.84,5.13,5.49,17.12,14.86,9.57,1.71,4.4,5.13,6.36,1.71,80.68,7.09,21.91,78.09,7.32,6.13,5.95,428,"Most people pay > $1000 for water & sewer annually"
"CT0030031",378,90441,36500,0,0.6,92.68,0,0,2.89,3.84,5.13,5.49,17.12,14.86,9.57,1.71,4.4,5.13,6.36,1.71,80.68,7.09,21.91,78.09,7.32,6.13,5.95,357,"Most people pay > $1000 for water & sewer annually"
"CT0030041",17,NA,NA,0,0.6,92.68,0,0,2.89,3.84,5.13,5.49,17.12,14.86,9.57,1.71,4.4,5.13,6.36,1.71,80.68,7.09,21.91,78.09,7.32,6.13,5.95,180,"Most people pay > $1000 for water & sewer annually"
"CT0030051",38,NA,NA,0,0.6,92.68,0,0,2.89,3.84,5.13,5.49,17.12,14.86,9.57,1.71,4.4,5.13,6.36,1.71,80.68,7.09,21.91,78.09,7.32,6.13,5.95,401,"Most people pay > $1000 for water & sewer annually"
"CT0030061",22,NA,NA,0,0.6,92.68,0,0,2.89,3.84,5.13,5.49,17.12,14.86,9.57,1.71,4.4,5.13,6.36,1.71,80.68,7.09,21.91,78.09,7.32,6.13,5.95,412,"Most people pay > $1000 for water & sewer annually"
"CT0030411",18,NA,NA,0,0.6,92.68,0,0,2.89,3.84,5.13,5.49,17.12,14.86,9.57,1.71,4.4,5.13,6.36,1.71,80.68,7.09,21.91,78.09,7.32,6.13,5.95,224,"Most people pay > $1000 for water & sewer annually"
"CT0037001",29,90441,36500,0.32,0.56,92.34,0.36,0,2.62,3.79,4.71,4.02,20.01,20.63,7.01,1.49,3.84,7.68,10.88,3.63,72.49,6.51,19.97,80.03,7.66,5.74,4.82,185,"Most people pay > $1000 for water & sewer annually"
"CT0040011",13650,123352,47665,0.85,10.95,81.74,1.03,0.02,2.43,2.98,4.18,4.67,26.39,36.41,3.58,11.35,11.78,25.07,19.37,16.85,15.59,4.69,15.57,84.43,18.26,5.18,1.15,1014,"Most people pay between $250-499 for water & sewer annually"
"CT0050011",42,NA,NA,0.05,0.33,96.99,0,0,0,2.62,2.79,3.55,27.99,28.06,7.76,0,31.82,0,40.91,27.27,0,3.28,9.55,90.45,3.01,4.62,1.62,600,"Most people pay between $500-749 for water & sewer annually"
"CT0051011",18,NA,NA,0.05,0.33,96.99,0,0,0,2.62,2.79,3.55,27.99,28.06,7.76,0,31.82,0,40.91,27.27,0,3.28,9.55,90.45,3.01,4.62,1.62,305,"Most people pay between $500-749 for water & sewer annually"
"CT0051031",28,NA,NA,0.05,0.33,96.99,0,0,0,2.62,2.79,3.55,27.99,28.06,7.76,0,31.82,0,40.91,27.27,0,3.28,9.55,90.45,3.01,4.62,1.62,522,"Most people pay between $500-749 for water & sewer annually"
"CT0055071",22,NA,NA,0.05,0.33,96.99,0,0,0,2.62,2.79,3.55,27.99,28.06,7.76,0,31.82,0,40.91,27.27,0,3.28,9.55,90.45,3.01,4.62,1.62,455,"Most people pay between $500-749 for water & sewer annually"
"CT0070011",8291,106819,44109,0.55,4.79,89.22,0,0,1.42,4.01,5.55,4.15,27.94,25.61,2.72,5.5,11.07,37.92,20.84,13.36,11.31,5.59,13.46,86.54,10.78,4.34,1.44,1531,"Most people pay between $250-499 for water & sewer annually"
"CT0070021",8036,109535,46371,0.48,5.33,88.64,0.01,0,2.31,3.22,4.54,4.56,25.84,23.34,2.35,5.37,10.74,23.32,24.32,14.25,22,3.8,18.96,81.04,11.36,3.37,2.49,946,"Most people pay between $500-749 for water & sewer annually"
"CT0070031",3616,87189,47758,0.84,7.48,85.18,0,0,1.07,5.43,6.15,5.58,22.36,26.54,2.28,9.62,12.37,24.48,21.54,18.41,13.59,5.57,20.69,79.31,14.82,5.52,1.69,1530,"Most people pay between $250-499 for water & sewer annually"
"CT0081011",138,NA,NA,1.43,5.29,91.2,0,0,0,2.08,2.04,6.3,21.61,25.74,5.84,0,40.91,0,59.09,0,0,0.28,7.41,92.59,8.8,0.82,2.25,1709,"Most people pay between $500-749 for water & sewer annually"
"CT0090011",11111,75055,36070,7.47,5.26,70.33,0.02,0,9.57,7.34,8.3,3.72,16.27,25.02,4.21,7.55,12.68,18.3,16.33,16.92,28.22,5.2,32.05,67.95,29.67,5.28,11.9,2258,"Most people pay > $1000 for water & sewer annually"
