"pwsid","date_of_first_advisory","date_of_last_advisory","total_bwn","min_reporting_year_for_state","max_reporting_year_for_state","state","data_tool_tip","download_link","clean_date_range"
"AK2121123",2020-03-31,2020-03-31,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2210794",2018-05-14,2018-05-14,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2211091",NA,NA,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2211130",2025-10-17,2025-10-17,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2211677",2025-10-09,2025-10-09,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2220070",2025-09-16,2025-12-11,2,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2220153",2025-12-07,2025-12-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2220488",2025-12-07,2025-12-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2220493",2025-12-07,2025-12-07,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
"AK2223315",2025-09-11,2025-09-11,1,1993-12-31,2026-01-28,"Alaska","Continuous data collection started on Sept 10th, 2025, and updates are completed quarterly. Please refer to the source link for the most current information.","https://gis.data.alaska.gov/datasets/ADEC::boil-water-and-do-not-drink-notice-open/explore?location=56.210819%2C-157.551116%2C7.85&showTable=true","Based on the records provided by the state, data covers 1993 to 2026"
