"pwsid","date_issued","date_lifted","epic_date_lifted_flag","type","state"
"AK2300816","2025-07-28","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2272747","2025-07-28","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2272747","2025-07-28","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2250126","2025-07-21","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2270346","2025-07-27","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2270346","2025-07-27","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2360816","2025-07-23","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2340751","2025-06-11","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2300214","2024-07-06","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2300191","2025-07-13","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2300191","2025-07-13","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2260367","2025-06-29","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2260367","2025-06-29","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2260228","2025-06-17","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2270150","2025-06-01","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2270150","2025-06-01","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2270150","2025-06-01","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2270150","2025-06-01","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2270150","2025-06-01","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2260040","2025-05-19","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2260040","2025-05-19","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2270362","2024-04-02","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2271025","2019-09-26","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2260595","2012-01-23","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2271059","2014-07-02","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2271700","2020-01-30","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2260163","2021-02-23","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2260804","2021-10-04","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2260032","2024-07-08","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2260032","2024-07-08","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2270184","2024-06-19","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2300272","2025-04-15","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2360214","2024-02-01","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2247953","1993-12-31","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2280066","2010-12-15","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2240464","2025-02-23","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2240464","2025-02-23","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2210794","2018-05-14","Open","Assumed","BWN-CLOSED BWN","Alaska"
"AK2271874","2024-02-07","Open","Assumed","BWN-CLOSED BWN","Alaska"
