"pwsid","times_funded","total_srf_assistance","median_srf_assistance","total_principal_forgiveness"
"CT0070021",1,1401491.58,1401491.58,248765.55
"CT0090011",5,14553201.06,868745.65,3761784.19
"CT0150011",2,6279292,3139646,4360598.25
"CT0170011",1,5200000,5200000,1500000
"CT0340111",1,81702.57,81702.57,19000
"CT0450011",1,5349596.61,5349596.61,400000
"CT0500011",1,49280.69,49280.69,12280.65
"CT0640011",11,35649755.57,2954643.26,8172850.77
"CT0671021",1,65819.64,65819.64,21752.49
"CT0688011",1,33533.01,33533.01,17146.91
"CT0770021",2,2702232.94,1351116.47,296439.34
"CT0820501",1,19025.68,19025.68,8510.4
"CT0860011",1,331338,331338,271750
"CT0880011",1,912572.24,912572.24,583733.5
"CT0890011",4,7287997.88,1961855.2,2960737.13
"CT0910011",1,1489042.5,1489042.5,676837.5
"CT0910591",1,233507.43,233507.43,53875
"CT0930011",6,28614262.14,2766684.87,4730583.2
"CT0950011",1,5352766,5352766,3689086.5
"CT0960301",1,2779613.53,2779613.53,1000000
"CT1030011",2,8700026.52,4350013.26,316536.78
"CT1040011",2,1859907.71,929953.86,1052229.97
"CT1160011",1,402500,402500,296250
"CT1420021",1,42732.24,42732.24,10622.01
"CT1510011",3,23654736,6572000,4500000
"CT1620011",2,8231765.79,4115882.9,3839923.6
"CT1630011",1,624015.64,624015.64,312007.82
"RI1000040",1,300000,300000,100000
"RI1559511",1,18173087,18173087,0
"RI1559518",2,5525000,2762500,2525000
"RI1592010",2,7436000,3718000,0
"RI1592020",2,254000,127000,254000
"RI1592021",1,15000000,15000000,2250000.2
"RI1592023",1,3887450,3887450,3887450
"RI1592024",5,98200000,21000000,46099000
"RI1615610",2,26100000,13050000,3949000
"RI1615616",1,3000000,3000000,212500
"RI1615619",1,162724.18,162724.18,100000
"RI1647512",1,1555000,1555000,100000
"RI1647529",1,77000,77000,77000
"RI1647530",1,2500000,2500000,0
"RI1900020",1,936008,936008,936008
"RI2000059",1,99377,99377,99377
"RI2674925",1,936721,936721,936721
"RI2942525",1,1592894,1592894,1592894
"RI2943224",1,811000,811000,811000
