"pwsid","huc12","num_facilities","npdes_permits","total_permit_eff_viols","total_open_usts","total_facilities_w_rmps","streams_303d_list"
"CT0010111",11000020106,1,0,0,27,0,0
"CT0012011",11000020106,1,0,0,27,0,0
"CT0030011",11000020205,2,1,0,7,0,0
"CT0030021",11000020205,1,1,0,7,0,0
"CT0030031",11000020205,3,1,0,7,0,0
"CT0030041",11000020205,1,1,0,7,0,0
"CT0030051",11000020205,1,1,0,7,0,0
"CT0030061",11000020205,2,1,0,7,0,0
"CT0030411",11000020205,2,1,0,7,0,0
"CT0037001",11000020203,2,0,0,0,0,0
"CT0040011",10802070405,2,1,0,22,0,0
"CT0040011",10802070601,5,0,0,25,0,0
"CT0050011",10802070302,1,0,0,0,0,1
"CT0051011",10802070204,1,1,0,13,0,2
"CT0051031",10802070103,1,1,0,1,0,1
"CT0055071",10802070204,1,1,0,13,0,2
"CT0070021",10802050601,2,0,0,55,1,8
"CT0081011",11000051207,4,4,0,57,0,3
"CT0090011",11000050801,5,0,0,132,1,5
"CT0090011",11000050802,4,3,0,65,0,3
"CT0090114",11000050802,2,3,0,65,0,3
"CT0100011",11000050901,2,0,0,6,0,0
"CT0105033",11000050901,2,0,0,6,0,0
"CT0110011",10802050302,1,1,0,43,0,1
"CT0110031",10802050302,1,1,0,43,0,1
"CT0110041",10802050302,1,1,0,43,0,1
"CT0110051",10802050302,1,1,0,43,0,1
"CT0120021",11000020106,4,0,0,27,0,0
"CT0120031",11000020106,2,0,0,27,0,0
"CT0120041",11000020106,1,0,0,27,0,0
"CT0120111",11000020106,1,0,0,27,0,0
"CT0121081",11000020106,1,0,0,27,0,0
"CT0150011",11000051301,2,0,0,33,0,2
"CT0150011",11000051302,2,4,0,82,1,7
"CT0150011",11000060101,1,0,0,1,0,0
"CT0150011",11000060102,3,0,0,8,0,0
"CT0150011",11000060103,4,2,0,63,0,5
"CT0150011",11000060301,1,1,0,151,0,4
"CT0150011",11000060302,4,0,0,42,0,4
"CT0161011",11000050703,2,0,0,9,0,1
"CT0170011",10802070403,3,0,0,5,0,1
"CT0170011",10802070404,9,1,0,141,1,5
"CT0180021",11000050802,2,3,0,65,0,3
"CT0180021",11000050803,2,1,0,12,0,2
"CT0180061",11000050601,7,1,0,9,0,2
"CT0180091",11000050601,2,1,0,9,0,2
"CT0180101",11000050601,3,1,0,9,0,2
"CT0180131",11000050803,6,1,0,12,0,2
"CT0180171",11000050802,2,3,0,65,0,3
"CT0180181",11000050601,2,1,0,9,0,2
"CT0180201",11000050601,2,1,0,9,0,2
"CT0180231",11000050803,2,1,0,12,0,2
"CT0180251",11000050802,3,3,0,65,0,3
"CT0184011",11000050802,1,3,0,65,0,3
"CT0189971",11000050803,1,1,0,12,0,2
"CT0190051",11000010403,1,3,0,32,0,3
"CT0199091",11000010701,2,0,0,17,0,0
"CT0201011",10802070405,1,1,0,22,0,0
"CT0201021",10802070405,1,1,0,22,0,0
"CT0210011",11000050306,4,0,0,3,0,3
"CT0220011",11000020302,2,1,0,0,0,3
"CT0220191",11000010704,2,0,0,24,0,3
"CT0229031",11000010704,3,0,0,24,0,3
"CT0230011",10802070302,1,0,0,0,0,1
"CT0230011",10802070401,1,1,0,0,0,0
"CT0230011",10802070402,1,1,0,11,0,0
"CT0231011",10802070402,1,1,0,11,0,0
"CT0248011",11000020206,2,0,0,15,0,3
"CT0251021",11000040301,1,1,0,84,0,4
"CT0261001",10802050901,2,2,0,35,0,2
"CT0261031",10802050901,10,2,0,35,0,2
"CT0261031",10802050904,1,1,0,13,0,1
"CT0261081",10802050901,2,2,0,35,0,2
"CT0270041",11000040208,1,4,0,63,1,4
"CT0270091",11000040208,1,4,0,63,1,4
"CT0270101",11000040208,1,4,0,63,1,4
"CT0270111",11000040208,2,4,0,63,1,4
"CT0280011",10802050802,2,1,0,27,0,1
"CT0280011",10802050805,1,0,0,2,0,0
"CT0280031",10802050802,2,1,0,27,0,1
"CT0280041",10802050802,6,1,0,27,0,1
"CT0280051",10802050802,3,1,0,27,0,1
"CT0280071",10802050802,2,1,0,27,0,1
"CT0282001",10802050802,6,1,0,27,0,1
"CT0286011",11000030101,6,0,0,0,0,1
"CT0300011",11000020107,2,0,0,0,0,0
"CT0300071",11000020106,2,0,0,27,0,0
