"pwsid","projects_invited_to_apply_over_fy_range","min_fy","max_fy","times_funded_2009_2021","total_assistance_amt_2009_2021","total_prin_forgive_amt_2009_2021"
"AK2110342",NA,NA,NA,3,6290400,0
"AK2110601",NA,NA,NA,2,1921531.16,781000
"AK2120143",NA,NA,NA,3,1211923,554322
"AK2120232",NA,NA,NA,7,8737773.73,3428584
"AK2130075",NA,NA,NA,14,30819711.47,4171596.05
"AK2210906",NA,NA,NA,23,65497449.26,0
"AK2211229",NA,NA,NA,1,131813,0
"AK2211431",NA,NA,NA,1,693551,334776
"AK2214730",NA,NA,NA,2,303714.34,0
"AK2220135",NA,NA,NA,1,743713.88,561488
"AK2221834",NA,NA,NA,1,377775,188888
"AK2222848",NA,NA,NA,1,50000,45000
"AK2224646",NA,NA,NA,2,673330,645160
"AK2225032",NA,NA,NA,1,1050000,945000
"AK2226020",NA,NA,NA,1,1216136.62,912102.47
"AK2227204",NA,NA,NA,1,187750,93750
"AK2240448",NA,NA,NA,1,1822861,1640575
"AK2240456",NA,NA,NA,3,883336.57,546343.63
"AK2240757",NA,NA,NA,1,426557,383901
"AK2241020",NA,NA,NA,1,1929297,1929297
"AK2241054",NA,NA,NA,1,1064466,1064466
"AK2250011",NA,NA,NA,1,2426619.82,0
"AK2260197",NA,NA,NA,2,850000,225000
"AK2260309",NA,NA,NA,1,4976857.31,1382600
"AK2293205",NA,NA,NA,1,4081500,1967375
"AK2310675",NA,NA,NA,2,696890,696890
"AK2310730",NA,NA,NA,1,1189883,1070895
"AK2310900",NA,NA,NA,1,3075175,0
"AK2340010",NA,NA,NA,3,4880288,925531
"AL0000001",0,2023,2023,1,650000,305000
"AL0000023",0,2023,2023,1,1420000,0
"AL0000029",0,2023,2023,1,5215000,0
"AL0000061",0,2023,2023,1,1914000,421460
"AL0000065",0,2023,2023,1,565000,270000
"AL0000073",0,2023,2023,1,465000,0
"AL0000082",0,2023,2023,1,500000,100000
"AL0000087",0,2023,2023,1,149000,69000
"AL0000092",0,2023,2023,1,1405000,350000
"AL0000093",0,2023,2023,1,2474000,64000
"AL0000097",1,2023,2023,1,1495000,200000
"AL0000100",0,2023,2023,2,1430000,800000
"AL0000117",0,2023,2023,5,2403400,913400
"AL0000122",0,2023,2023,2,925000,0
"AL0000133",0,2023,2023,1,7445000,0
"AL0000164",0,2023,2023,2,2110000,0
"AL0000168",2,2023,2023,0,0,0
"AL0000180",1,2023,2023,0,0,0
"AL0000188",0,2023,2023,2,3065000,500000
"AL0000189",0,2023,2023,1,510000,95000
"AL0000219",0,2023,2023,1,515000,0
"AL0000229",0,2023,2023,1,880000,0
"AL0000237",0,2023,2023,1,1970000,500000
"AL0000243",1,2023,2023,0,0,0
"AL0000255",1,2023,2023,0,0,0
"AL0000256",0,2023,2023,1,1530000,0
"AL0000262",1,2023,2023,0,0,0
"AL0000298",0,2023,2023,1,160000,160000
"AL0000299",0,2023,2023,1,662000,300000
"AL0000302",0,2023,2023,1,460000,0
"AL0000311",0,2023,2023,1,1395000,0
"AL0000314",0,2023,2023,1,1025000,500000
"AL0000327",0,2023,2023,2,944200,424200
"AL0000341",1,2023,2023,0,0,0
"AL0000351",0,2023,2023,1,300000,300000
"AL0000364",0,2023,2023,2,260000,260000
"AL0000378",0,2023,2023,1,204600,99600
"AL0000379",0,2023,2023,1,130000,130000
"AL0000385",0,2023,2023,1,248400,123400
"AL0000394",0,2023,2023,1,3253184,3253184
"AL0000413",0,2023,2023,1,3215000,0
"AL0000414",0,2023,2023,1,473947,183947
"AL0000415",0,2023,2023,2,4500000,0
"AL0000420",0,2023,2023,1,800000,800000
"AL0000436",0,2023,2023,1,315000,315000
"AL0000438",0,2023,2023,1,290000,290000
"AL0000490",1,2023,2023,2,4092420.75,1781000
"AL0000500",0,2023,2023,1,964000,474000
"AL0000506",0,2023,2023,1,801000,391000
"AL0000509",0,2023,2023,2,1579000,509000
"AL0000553",0,2023,2023,1,1475000,0
"AL0000561",0,2023,2023,1,465000,95000
"AL0000594",0,2023,2023,1,245000,0
"AL0000604",0,2023,2023,2,814000,154000
"AL0000607",0,2023,2023,2,1062000,512000
"AL0000610",0,2023,2023,2,2137000,642000
"AL0000612",0,2023,2023,1,100000,100000
"AL0000629",0,2023,2023,2,685000,0
"AL0000643",1,2023,2023,0,0,0
"AL0000657",0,2023,2023,1,585000,585000
"AL0000663",0,2023,2023,1,980000,980000
"AL0000677",0,2023,2023,1,800000,365000
"AL0000681",1,2023,2023,1,3131049,1021049
"AL0000708",0,2023,2023,2,890500,425500
"AL0000726",0,2023,2023,1,465000,225000
"AL0000729",0,2023,2023,1,830000,0
"AL0000738",1,2023,2023,5,11512916,1707916
"AL0000748",0,2023,2023,1,1235000,360000
"AL0000755",0,2023,2023,1,705000,335000
"AL0000763",0,2023,2023,2,17540000,0
"AL0000783",1,2023,2023,1,5825000,0
"AL0000788",0,2023,2023,1,720000,350000
"AL0000789",0,2023,2023,2,752000,362000
"AL0000794",0,2023,2023,1,555000,0
"AL0000798",0,2023,2023,1,595000,235000
"AL0000801",0,2023,2023,1,730000,330000
"AL0000805",0,2023,2023,1,2605000,0
"AL0000814",1,2023,2023,0,0,0
"AL0000824",0,2023,2023,1,3900000,0
"AL0000847",1,2023,2023,2,1635000,920000
"AL0000852",1,2023,2023,0,0,0
"AL0000853",0,2023,2023,2,612500,292500
"AL0000858",0,2023,2023,1,850000,410000
"AL0000862",0,2023,2023,1,310000,145000
"AL0000867",0,2023,2023,1,280000,130000
"AL0000870",0,2023,2023,1,1630000,0
"AL0000882",1,2023,2023,1,180000,0
"AL0000885",0,2023,2023,1,16110000,0
"AL0000897",0,2023,2023,1,3735000,0
"AL0000908",0,2023,2023,1,3160000,200000
"AL0000933",0,2023,2023,1,2180000,0
"AL0000940",0,2023,2023,2,2588000,358000
"AL0000967",0,2023,2023,1,4410000,0
"AL0000971",0,2023,2023,1,6983655,4248655
"AL0000983",0,2023,2023,1,520000,0
"AL0001005",3,2023,2023,2,27520000,0
