"pwsid","gw_sw_code","primary_source_code","first_reported_date","years_operating","owner_type","primacy_type","is_grant_eligible_ind","is_wholesaler_ind","is_school_or_daycare_ind","source_water_protection_code","phone_number","lead_and_copper_rule_healthbased_5yr","radionuclides_and_revised_rad_rule_healthbased_5yr","groundwater_rule_healthbased_5yr","surface_water_treatment_rules_healthbased_5yr","total_coliform_rules_healthbased_5yr","inorganic_chemicals_healthbased_5yr","stage_1_disinfectants_and_byproducts_rule_healthbased_5yr","stage_2_disinfectants_and_byproducts_rule_healthbased_5yr","synthetic_organic_chemicals_healthbased_5yr","volatile_organic_chemicals_healthbased_5yr","health_viols_5yr","paperwork_viols_5yr","total_viols_5yr","lead_and_copper_rule_healthbased_10yr","radionuclides_and_revised_rad_rule_healthbased_10yr","groundwater_rule_healthbased_10yr","surface_water_treatment_rules_healthbased_10yr","total_coliform_rules_healthbased_10yr","inorganic_chemicals_healthbased_10yr","stage_1_disinfectants_and_byproducts_rule_healthbased_10yr","stage_2_disinfectants_and_byproducts_rule_healthbased_10yr","synthetic_organic_chemicals_healthbased_10yr","volatile_organic_chemicals_healthbased_10yr","health_viols_10yr","paperwork_viols_10yr","total_viols_10yr","violations_all_years","open_health_viol"
"CT0010111","Groundwater","GW","2004-03-20",22,"Private","State","Yes","No","No","Yes","(860) 490-5205",1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,3,41,"Yes"
"CT0012011","Groundwater","GW","1982-04-15",44,"Private","State","Yes","No","No","Yes","(860) 398-5425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,11,"No"
"CT0030011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 942-2903",1,0,0,0,0,0,0,0,0,0,1,20,21,2,0,0,0,0,0,0,0,0,0,2,26,28,128,"Yes"
"CT0030021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 856-3346",1,0,0,0,1,0,0,0,0,0,2,3,5,1,0,0,0,1,0,0,0,0,0,2,30,32,72,"Yes"
"CT0030031","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"No"
"CT0030041","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 856-3346",1,0,0,0,0,0,0,0,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,1,25,26,41,"Yes"
"CT0030051","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 856-3346",1,0,0,0,1,0,0,0,0,0,2,7,9,1,0,0,0,1,0,0,0,0,0,2,19,21,144,"Yes"
"CT0030061","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 856-3346",1,0,0,0,1,0,0,0,0,0,2,7,9,1,0,0,0,1,0,0,0,0,0,2,73,75,116,"Yes"
"CT0030411","Groundwater","GW","1995-07-06",31,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"No"
"CT0037001","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 429-2743",1,0,0,0,0,0,0,0,0,0,1,15,16,1,0,0,0,1,0,0,0,0,0,2,23,25,73,"Yes"
"CT0040011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 664-6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,53,182,"No"
"CT0050011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 585-3595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,"No"
"CT0051011","Groundwater","GW","1979-03-23",47,"Private","State","Yes","No","No","Yes","(718) 578-3317",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,72,"No"
"CT0051031","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","(860) 806-0678",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,34,"No"
"CT0055071","Groundwater","GW","2004-03-20",22,"Private","State","Yes","No","No","Yes","(718) 578-3317",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,4,5,10,"No"
"CT0070011","Surface Water","SWP","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 828-9781",0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,13,13,37,"No"
"CT0070021","Surface Water","SWP","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 828-7065",1,0,0,0,0,0,0,0,0,0,1,26,27,1,0,0,0,0,0,0,0,0,0,1,48,49,201,"Yes"
"CT0070031","Surface Water","SWP","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 828-5630",0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,10,10,24,"No"
"CT0081011","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","No Information",0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,38,38,51,"No"
"CT0090011","Surface Water","SW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(203) 794-8557",0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,21,21,83,"No"
"CT0090114","Groundwater","GW","2000-01-11",26,"Private","State","Yes","No","No","Yes","(203) 733-1983",1,0,0,0,2,0,0,0,0,0,3,13,16,1,0,0,0,3,0,0,0,0,0,4,39,43,118,"No"
"CT0090292","Surface Water","SWP","1979-07-12",47,"Private","State","Yes","No","No","No","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,"No"
"CT0100011","Groundwater","GW","1981-01-09",45,"Private","State","Yes","No","No","Yes","(203) 266-5353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,34,"No"
"CT0105033","Groundwater","GW","1991-12-30",35,"Private","State","Yes","No","No","Yes","(203) 266-7788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,2,5,86,"No"
"CT0110011","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 233-9631",1,0,0,0,0,0,0,0,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,1,7,8,53,"Yes"
"CT0110031","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","No Information",0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,12,12,91,"No"
"CT0110041","Groundwater","GW","1981-01-09",45,"Private","State","Yes","No","No","Yes","(860) 324-7191",2,0,0,0,0,0,0,0,0,0,2,4,6,2,0,1,0,1,0,0,0,0,0,4,15,19,43,"Yes"
"CT0110051","Groundwater","GW","1981-01-09",45,"Private","State","Yes","No","No","Yes","(860) 888-5860",1,0,0,0,6,0,0,0,0,0,7,8,15,1,0,0,0,6,0,0,0,0,0,7,13,20,69,"Yes"
"CT0120021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 944-9655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,"No"
"CT0120031","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 649-5371",1,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,0,0,0,0,0,0,0,1,11,12,28,"Yes"
"CT0120041","Groundwater","GW","1980-12-29",46,"Private","State","Yes","No","No","Yes","(860) 338-9697",1,0,0,0,0,0,0,0,0,0,1,8,9,1,0,0,0,2,0,0,0,0,0,3,12,15,33,"Yes"
"CT0120111","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(860) 649-8250",1,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,1,14,15,37,"Yes"
"CT0121081","Groundwater","GW","2014-09-29",12,"Private","State","Yes","No","No","Yes","(860) 268-4912",1,0,0,0,0,0,0,0,0,0,1,14,15,1,0,0,0,1,0,0,0,0,0,2,42,44,240,"Yes"
"CT0150011","Surface Water","SW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,155,"No"
"CT0161011","Groundwater","GW","1979-04-03",47,"Private","State","Yes","No","No","Yes","No Information",0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,77,77,105,"No"
"CT0170011","Surface Water","SW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(860) 582-7431",0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,15,15,119,"No"
"CT0180021","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,18,"No"
"CT0180061","Groundwater","GW","1979-03-08",47,"Local","State","Yes","No","No","Yes","(203) 790-6888",0,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,50,50,90,"No"
"CT0180091","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 733-7417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"No"
"CT0180101","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,164,"No"
"CT0180131","Groundwater","GW","1979-03-08",47,"Private","State","Yes","No","No","Yes","(203) 926-4320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,"No"
