"pwsid","total_pop_pct_change_2011_2021","laborforce_unemployed_pct_change_2011_2021","mhi_pct_change_2011_2021","hh_inc_lowest_quintile_pct_change_2011_2021","hh_total_pct_change_2011_2021","hh_below_pov_pct_change_2011_2021","poc_alone_per_pct_change_2011_2021","pop_in_pov_per_pct_change_2011_2021","income_change_flag","population_change_flag","total_pop_pct_change_2011_2021_cap","mhi_pct_change_2011_2021_cap"
"CT0010111",-5.06,-50,-5.35,11.55,0,-50,60,-66.67,"Decrease in income the last 10 years","Decrease in people the last 10 years",-5.06,-5.35
"CT0012011",-3.53,0,4.63,-41.45,6.15,0,0,25,"Increase in income the last 10 years","Decrease in people the last 10 years",-3.53,4.63
"CT0030011",0,0,NA,NA,0,NA,40,20,NA,NA,0,NA
"CT0030021",-2.86,20,6.72,-27,3.64,33.33,40,20,"Increase in income the last 10 years","Decrease in people the last 10 years",-2.86,6.72
"CT0030031",-2.58,21.43,6.72,-27,3.92,22.22,40,20,"Increase in income the last 10 years","Decrease in people the last 10 years",-2.58,6.72
"CT0030041",0,0,NA,NA,0,NA,40,20,NA,NA,0,NA
"CT0030051",-2.56,100,NA,NA,6.67,0,40,20,NA,"Decrease in people the last 10 years",-2.56,NA
"CT0030061",0,0,NA,NA,0,0,40,20,NA,NA,0,NA
"CT0030411",-5.26,0,NA,NA,14.29,NA,40,20,NA,"Decrease in people the last 10 years",-5.26,NA
"CT0037001",0,0,6.72,-27,9.09,NA,60,20,"Increase in income the last 10 years",NA,0,6.72
"CT0040011",5.93,-34.21,-2.99,-19.1,7.79,1.98,80,25,"Decrease in income the last 10 years","Increase in people the last 10 years",5.93,-2.99
"CT0050011",-2.33,0,NA,NA,-11.76,NA,200,400,NA,"Decrease in people the last 10 years",-2.33,NA
"CT0051011",-5.26,0,NA,NA,0,NA,200,400,NA,"Decrease in people the last 10 years",-5.26,NA
"CT0051031",-3.45,0,NA,NA,-9.09,NA,200,400,NA,"Decrease in people the last 10 years",-3.45,NA
"CT0055071",-4.35,0,NA,NA,-11.11,NA,200,400,NA,"Decrease in people the last 10 years",-4.35,NA
"CT0070011",-2.42,-50.38,5.54,4.7,6.93,16.17,83.33,-42.86,"Increase in income the last 10 years","Decrease in people the last 10 years",-2.42,5.54
"CT0070021",5.29,-66.11,3.52,19.79,11.45,-11.03,57.14,-50,"Increase in income the last 10 years","Increase in people the last 10 years",5.29,3.52
"CT0070031",0.39,-72.94,-13.08,32.92,9.9,27.69,66.67,-14.29,"Decrease in income the last 10 years","Increase in people the last 10 years",0.39,-13.08
"CT0081011",-3.5,-16.67,NA,NA,-8,-100,50,-80,NA,"Decrease in people the last 10 years",-3.5,NA
"CT0090011",15.57,-53.2,-16.66,-19.49,7.92,-6.36,172.73,0,"Decrease in income the last 10 years","Increase in people the last 10 years",15.57,-16.66
"CT0090114",3.57,-66.67,NA,NA,11.54,0,20,-50,NA,"Increase in people the last 10 years",3.57,NA
"CT0090292",6.31,42.86,12.4,-14.94,9.17,400,187.5,400,"Increase in income the last 10 years","Increase in people the last 10 years",6.31,12.4
"CT0100011",-4.65,-100,NA,NA,-5.88,NA,700,100,NA,"Decrease in people the last 10 years",-4.65,NA
"CT0105033",-5.56,-100,-7.63,-33.75,-7.14,NA,700,100,"Decrease in income the last 10 years","Decrease in people the last 10 years",-5.56,-7.63
"CT0110011",2.99,-71.43,-13.72,-28.31,-3.12,33.33,5.88,33.33,"Decrease in income the last 10 years","Increase in people the last 10 years",2.99,-13.72
